Filename,Text
001_Fatihah_page_0.png," Tafsir Ibn Kسthir دلك الكثاب لاريب فيه هدًى للمثقين ٨٥١ ٨٨٨٨٨٥٢ ١٨ ،٥١٨٥٥١١٨٨٨٨٥٥١٨٨,١٨٨٨٢٨١٨؟٨١٨٨ A Fatihah Revealed in Makkah The Meaning of Al Fatehah and its Various Names This Surah is called Al Fatihah  that is, the Opener of the Book  the Surah with which prayers are begun. It is also called, Umm Al- Kitab (the Mother of the Book ) according to the majority of the scholars. In a٨ authentic   Hadith recorded by At- Tirmidhi who graded it Sahih, Abu Hurayrah said that the Messenger of Allah said الحمد لله رب العالمين أمً القرآن وأمً الكتاب والقرآن العظيم Al-Hamdu Iillahi Rabbil- Alamin is the Mother of the Qur'a the Mother of the Book, and the seven repeated Ayat of the Glorious Quran It is also called Al Hamd and As-Salah  because the Prophet that his Lord said نصفين قسمت الصلاةً بيني وبين المثاني والسبع 'an, said عبدي"
001_Fatihah_page_1.png," فإذا قال العبد : الحمددلله رب العالمين  قال الله : The prayer (ie, Al Fatihah) is divided into two halves between Me and My servants  When the servant says  All praise is due to Allah, the Lord of existence   Allah 5٥|5, 'M٧ servant has praised Me. Al Fatihah was called the Salah, because reciting it is a condition for the correctness of Salah the prayer Al Fatihah was also called Ash-Shifa' (the Cure) It is also called Ar Ruqyah (remedy) since in the Sahih, there is the narration of Abu Sa id telling the story of the Companion who used Al Fatihah as a remedy for the tribal chief who was poisoned. Later, the Messenger of Allah said to Companion, ومًا يدريك أنهًا رقية How did you know that it is a Ruqyah? Al Fatihah was revealed in Makkah as Ibn Abbas, Qatadah and Abu Al-Aliyah stated Allah said, ولقذ ءاتينك سبعًا مًن And   indeed We have bestowed upon ٧oU the seven Mathani seven repeatedly recited verses), (i e Surah Al Fatihah) (15:87). Allah knows best  How many Avat does Al Fatihah Contain There i5 ٨٥ disagreement ٥ver the view that Al Fatihah contains seven Ayat According to the majority of the reciters of Al-Kufah  a group of the Companions  the Tabi`in  and a number of scholars from عبدي حمدني المثاني"
001_Fatihah_page_2.png," the successive generations  the Bismillah is a separate Ayah in its beginning. We ١١ز١ mention this subject again soon if Allah wills, and in Him we trust The Number of Words and Letters in Al Fatihah The scholars say that Al Fatihah consists of twenty five words, and that it contains one hundred and thirteen letters  The Reason it is called Umm Al Kitab In the beginning of the Book of Tafsir  in his Sahih  Al-Bukhari said; ""It is called Umm Al-Kitab because the Quran starts with it and because the prayer is started by reciting it It was also said that it is called Umm Al Kitab because it contains the meanings of the entire Qur'an. Ibn Jarir said ""The Arabs call every   comprehensive matter that contains several specific areas an Umm For instance, they call the skin that surrounds the brain, Umm Ar-Ra's They also cal/ the flag that gathers the ranks of the army an Umm He also said ""Makkah was called Umm Al-Quran  (the Mother of the Villages ) because is the grandest and the leader of all villages It was also said that the earth was made starting from Makkah  Further, Imam Ahmad recorded that Abu  Hurayrah narrated about Umm Al-Qur'an that the Prophet said, هي القرآن هي أمً القرآن وهي السًبع العظيم المثاني"
001_Fatihah_page_3.png," It is Umm Al-Qur'an  the seven repeated (verses ) and the Glorious Quran  Also, Abu Jafar, Muhammad bin Jarir  At Tabari recorded Abu Hurayrah saying that the   Messenger 0f Allah said about 4/- Fatihah , هي أم القرآن وهي فاتحة It i5 Umm Al-Qur'an, Al Fatihah 0f the Book (the Opener of the Quran ) and the seven repeated ( verses ) Virtues of Al Fatihah Imam Ahmad bin Hanbal recorded in the Musnad that Abu Sa id bin Al-Mu alla said, was praying when the Prophet called me, S0 I did not answer him until I finished the prayer. then went to him and he said What prevented you from coming? I said, '0 Messenger of Allah! I was praying.  He said Didn't Allah say استجيبوا لله وللرًسول إذا دعاكم لمًا يحييكم يأيهًا الذين ءًامنو ٧o٧ who believe! Answer Allah (by obeying Him ) and (His ) Messenger when he calls you to that which gives you life He then said ""I will teach you the greatest Surah in the Qur'an before you leave the Masjid  Mosque)  He held my hand and when he was about to leave the Masjid said, 0 Messenger of Allah! You said: ١١زر teach you the greatest Surah in the Quran He said Ves -AI-Hamdu Iillahi Rabbil الحمد لله رب العالمين Alamin, الكثتاب المثاني السبع"
001_Fatihah_page_4.png," It is the seven repeated (verses ) and the Glorious Quran that I was given  Al-Bukhari, Abu Dawud An-Nasa'i and Ibn Majah also recorded this Hadith Imam Ahmad recorded that Abu Hurayrah said, ""The Messenger of Allah went out while Ubayy bin Ka was praying and said 0 Ubayy! Ubayy did not answer him The Prophet said, 0 Ubayy! Ubayy prayed faster then went to the Messenger of Allah saying, Peace be unto you, 0 Messenger of Allah! He said, Peace be unto you. 0 Ubayy, what prevented you from answering me when I called you? He said 0 Messenger of Allah! [ was praying  He said, Did ٧0U not read among what Allah has sent down to لله وللرًسول إذا دعاكم لمًا يحييكم استجيبو Answer Allah (by obeying Him ) and (His ) Messenger when he calls you to that which gives you life  He said Messenger 0f Allah! l١ز١ not d٥  it again the Prophet said أثحب أن أعلمك سورةً لم تثزل ا في الثوراة ولا في الإنجيل ولافي الزبور ولافي الفرقان مثلها؟ Would you like me to teach you a Surah the likes 0f which nothing has been revealed ٨ز the Tawrah, the   Injil the Zabur   (Psalms) 0٢ the Furqan (the Quran)? A|so, me, Yes,"
001_Fatihah_page_5.png," He said Yes, 0 Messenger of Allah!' The Messenger of Allah said, I hope that I will not leave through this door until you have learned it He (Ka `b) said, The Messenger of Allah held my hand while  speaking t0 me Meanwhile was slowing ٥٥w٨ fearing that he might reach the door before he finished his conversation  When we came close t0 the   door, said : Messenger of Allah! What is the Surah that you have promised to teach me?' He said  What do you read in the prayer Ubayy said, So I recited Umm Al-Qur'an to him ' He said  بيده مًا أنزل الله فى الثوراة ولا فى الإثجيل ولا والذي الزبور ولا في الفرقان مثلهًا إنًهًا السًبع By Him i٨ Whose Hand i5 my S0u|! Allah has never revealed i٨ the  Tawrah, the Injil  the Zabur or the Furqan Surah like  it It is the seven repeated verses that I was given Also, At- Tirmidhi recorded this Hadith and ٨ز his narration, the Prophet said أعطبثه  والقرآن إنهًا من It is the seven repeated verses and the Glorious Quran that I was given  Also, At- Tirmidhi recorded this Hadith and in his narration , the Prophet said الذي أعطيته  والقرآن إنًهًا من السًبع It is the seven repeated verses and the Glorious Quran that I was given At Tirmidhi then commented that this Hadith is Hasan Sahih  نقسي المثاني  الذي العظيم المثاني السبع العظيم المثاني"
001_Fatihah_page_6.png," There is a similar Hadith on this subject narrated from Anas bin Malik Further, Abdullah  the son of Imam Ahmad recorded this Hadith from Abu Hurayrah from Ubayy bin Ka b, and he mentioned longer but similar wording for the above Hadith In addition, At- Tirmidhi and An-Nasa'i recorded this Hadith from Abu Hurayrah from   Ubayy bin Ka Wh٥ said that the Messenger of Allah said الستًبع مًا أنزل الله في الثوراة ولا في الإنجيل مثل أمً القرآن نصفين مة بيني وبين وهي Allah has never revealed i٨ the Tawrah 0٢ the   Injil anything similar t0 Umm Al-Qur'an It   is the seven repeated verses and it is divided into two halves between Allah and His servant This is the wording reported by An-Nasa'i At Tirmidhi said that this Hadith is Hasan Gharib Also, Imam Ahmad recorded that Ibn Jabir said went to the Messenger of Allah after he had poured water (for purification ) and said Peace be unto you Messenger of Allah!' He did not answer me So I said again  Peace be unto ٧0٧, Messenger of Allah!' Again, he did not answer me, so I said again, Peace be unto you 0 Messenger of Allah!' Still he did not answer me. The Messenger of Allah went while I was following him, until he arrived at his residence I went to the Masjid and sat there 5a0 and depressed  The Messenger 0f Allah came out after he performed his purification and said, Peace and Allah's mercy be unto you, المثاني عبدي مفسو"
001_Fatihah_page_7.png," peace and Allah s mercy be unto you, peace and Allahs mercy be unto you. He then said Abdullah bin   Jabir! Should inform   you of the best Surah in the Quran! I said, Yes, 0 Messenger of Allah! He said ""Read All praise be to Allah, the Lord of the existence, until you finish it This Hadith has a good chain of narrators Some scholars relied 0n this Hadith a5 evidence that some Ayat and Surahs have more virtues than others Furthermore , in the chapter about the virtues of the Quran, Al- Bukhari recorded that Abu Sa id Al-Khudri said  "" Once, ١٤ were 0n a journey when female servant came and said, The leader ٥f this area has been poisoned and 0U٢ people are away Is there healer among you?' Then man whose healing expertise did not interest us stood for her, he read Ruqyah for and he wa5 healed. The chief gave him thirty sheep as a gift and some milk When he came back to us we said to him, You knOW 0f (new ) Ruqyah, 0٢ did ٧0U d0 this before?' He said, I only used Umm Al Kitab as Ruqyah  We Do not do anything further until we ask the Messenger of Allah.  When we went back to Al Madinah we mentioned what had happened to the Prophet  The Prophet said, him, said"
001_Fatihah_page_8.png," وماكان يدريه أنًهًا رقية اقسموا واضربو Who  told him that it is Ruqyah. Divide  (the sheep) and reserve a share for me Also, Muslim recorded in his Sahih and AnNasa'i in his Sunan that Ibn Abbas said ""While Jibril ( Gabriel) was with the Messenger of Allah, he heard a noise from above Jibril lifted his sight to the sky and said, This is 3 d٥٥r in heaven being open and it never been opened before now An angel descended from that d٥0r and came to the Prophet and said Receive the glad tidings of two lights that you have been given, which no other Prophet before you was given : the Opening of the Book and the last (three ) Ayat 0f Surah A|- Baqarah You will not read a letter of them but will gain its benefit This i5 the   wording collected by An- Nasa'i (Al-Kubra 5:12) and Muslim recorded similar wording (1:554) Al Fatihah and the Prayer Muslim recorded that Abu Hurayrah said that the Prophet said صلى صلاةً لم يقرأ فيهًا أمً القرآن فهي خدًاج ثلاثا غيرر تًمام Whoever performs any prayer in which he did not read Umm Al-Qur'an  then his prayer is incomplete. He said it thrice  has"
001_Fatihah_page_9.png," Abu Hurayrah was asked ""When we stand behind the Imam!' He said ""Read it to yourself, for I heard the Messenger of Allah say قال الله عزة وجلً : قسمت الصلاة بيني وبين عبدي نصفين ولعبدي مًا سأل Allah, the Exalted  said have divided the prayer (Al Fatihah ) into tWO halves between Myself and My servant and My servant shall have what he asks for If he says, الحمد لله رب العالمين (AIl praise and thanks be to Allah, the Lord of existence) قال الله : Allah says, My servant has praised Me When the servant says,  The Most Gracious) الرحمن the Most Merciful). قال الله : أثنى عليً عبديء Allah says, My servant has glorified Me When he says, مالك يوم الدين (The Owner of the Day of Recompense ). وقال مررًةً: فوًض إلي قال الله : مجًدني Allah says, My servant has glorified Me,  0٣ M٧ servant has related all matters to Me When he says, وإيًاك نستعين إيًاك نعبد (You (alone ) we worship, and You (alone) we ask for help)  ولعبدي مًا سأل هذا بيني وبين Allah says, This is between Me and My servant and My servant shall acquire what he sought 10 عبدي حمدني الرحيم عبدي عبدي قال : عبدي"
